"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2021","Ray, Robbie","592662","Blue Jays","TOR","L","94.8","1861","3141",19.38888888888889,0.5924864692773002,"FF","4-Seam Fastball",13.5,-14.1,0.7,"5",17.1,8.2,-7.2,1,"14",0.6752941176470588,0.6
"2021","Mahle, Tyler","641816","Reds","CIN","R","94","1697","3196",19.728395061728396,0.5309762202753442,"FF","4-Seam Fastball",13.9,-15.1,1.2,"8",17.1,12.1,-7.8,4.3,"56",0.7788235294117647,0.9223529411764706
"2021","Gausman, Kevin","592332","Giants","SF","R","94.6","1578","3002",18.530864197530864,0.5256495669553631,"FF","4-Seam Fastball",14.2,-14.2,0,"0",16.4,10.4,-7.2,3.2,"45",0.5317647058823529,0.8305882352941176
"2021","Happ, J.A.","457918","Cardinals","STL","L","91","1443","2674",16.506172839506174,0.5396409872849663,"FF","4-Seam Fastball",16.1,-16,0,"0",17,7.9,-6.7,1.1,"17",0.5317647058823529,0.611764705882353
"2021","Pivetta, Nick","601713","Red Sox","BOS","R","94.8","1423","2745",16.944444444444443,0.5183970856102004,"FF","4-Seam Fastball",10.8,-13.2,2.4,"18",19.7,5.1,-6.2,-1.1,"-18",0.9435294117647058,0.3458823529411765
"2021","Buehler, Walker","621111","Dodgers","LAD","R","95.3","1408","3152",19.45679012345679,0.4467005076142132,"FF","4-Seam Fastball",12,-14.3,2.3,"16",18,3,-7.7,-4.7,"-61",0.9247058823529412,0.058823529411764705
"2021","Cole, Gerrit","543037","Yankees","NYY","R","97.7","1400","2969",18.32716049382716,0.47153923880094306,"FF","4-Seam Fastball",10.9,-13,2.1,"16",18,12,-8.5,3.5,"42",0.9011764705882352,0.851764705882353
"2021","Cease, Dylan","656302","White Sox","CWS","R","96.6","1388","2957",18.253086419753085,0.4693946567467027,"FF","4-Seam Fastball",10.6,-12.8,2.3,"18",18.8,4.5,-6.9,-2.4,"-35",0.9247058823529412,0.21411764705882352
"2021","Wheeler, Zack","554430","Phillies","PHI","R","97.2","1359","3205",19.78395061728395,0.42402496099843995,"FF","4-Seam Fastball",13.1,-12.9,-0.2,"-1",15.9,7.6,-7.7,-0.1,"-1",0.4894117647058824,0.46352941176470586
"2021","Urías, Julio","628711","Dodgers","LAD","L","94.1","1347","2786",17.19753086419753,0.4834888729361091,"FF","4-Seam Fastball",13.5,-15,1.5,"10",17.3,3.8,-7.2,-3.4,"-48",0.8329411764705882,0.1411764705882353
"2021","Heaney, Andrew","571760","Yankees","NYY","L","92","1338","2253",13.907407407407407,0.5938748335552596,"FF","4-Seam Fastball",17.4,-16.9,-0.5,"-3",15.2,15.3,-8.6,6.7,"78",0.43529411764705883,0.9929411764705882
"2021","Scherzer, Max","453286","Dodgers","LAD","R","94.3","1317","2821",17.41358024691358,0.466855724920241,"FF","4-Seam Fastball",14.8,-15.3,0.4,"3",16,10.6,-8.1,2.5,"32",0.5905882352941176,0.7741176470588236
"2021","Senzatela, Antonio","622608","Rockies","COL","R","94.6","1312","2405",14.937888198757763,0.5455301455301456,"FF","4-Seam Fastball",19.3,-14.6,-4.8,"-33",11,4.9,-7.4,-2.5,"-34",0.021176470588235293,0.2023529411764706
"2021","Giolito, Lucas","608337","White Sox","CWS","R","93.8","1303","2970",18.333333333333332,0.43872053872053873,"FF","4-Seam Fastball",12,-13.8,1.8,"13",19.1,6.7,-6.3,0.4,"6",0.88,0.5388235294117647
"2021","Rodón, Carlos","607074","White Sox","CWS","L","95.4","1302","2219",13.697530864197532,0.5867507886435331,"FF","4-Seam Fastball",12.6,-13.1,0.4,"3",17.6,7.9,-6.3,1.6,"25",0.5905882352941176,0.6494117647058824
"2021","Gilbert, Logan","669302","Mariners","SEA","R","95.3","1293","2125",13.117283950617283,0.6084705882352941,"FF","4-Seam Fastball",12.1,-13.4,1.3,"10",18,5.4,-6.7,-1.3,"-20",0.8070588235294117,0.3247058823529412
"2021","Márquez, Germán","608566","Rockies","COL","R","94.8","1268","2788",17.316770186335404,0.45480631276901007,"FF","4-Seam Fastball",18.6,-14.9,-3.7,"-25",11.5,6,-7.3,-1.3,"-18",0.05411764705882353,0.3247058823529412
"2021","Rogers, Trevor","669432","Marlins","MIA","L","94.5","1252","2169",13.38888888888889,0.5772245274319963,"FF","4-Seam Fastball",16,-14.4,-1.6,"-11",14.8,11.1,-7.4,3.7,"50",0.1952941176470588,0.8635294117647059
"2021","Eovaldi, Nathan","543135","Red Sox","BOS","R","96.8","1237","2927",18.067901234567902,0.4226170140075162,"FF","4-Seam Fastball",14.9,-13.5,-1.4,"-10",14.4,12.2,-8.4,3.8,"45",0.22588235294117648,0.88
"2021","Richards, Garrett","572070","Red Sox","BOS","R","94.3","1236","2331",14.38888888888889,0.5302445302445302,"FF","4-Seam Fastball",22,-15.1,-6.9,"-45",8.7,1.3,-7.7,-9,"-116",0,0.002352941176470588
"2021","Snell, Blake","605483","Padres","SD","L","95.1","1231","2347",14.487654320987655,0.5244993608862377,"FF","4-Seam Fastball",11.5,-12.9,1.4,"11",18.8,5.7,-6.1,-0.4,"-6",0.8188235294117647,0.4117647058823529
"2021","McKenzie, Triston","663474","Guardians","CLE","R","92.1","1219","1975",12.191358024691358,0.6172151898734177,"FF","4-Seam Fastball",12.5,-15,2.5,"17",19.8,3.4,-6.1,-2.7,"-44",0.9552941176470588,0.18588235294117647
"2021","Peralta, Freddy","642547","Brewers","MIL","R","93.4","1218","2356",14.54320987654321,0.5169779286926995,"FF","4-Seam Fastball",14.9,-16.3,1.4,"9",16.5,7,-8,-1,"-13",0.8188235294117647,0.3623529411764706
"2021","Gray, Jon","592351","Rockies","COL","R","94.9","1181","2537",15.75776397515528,0.46551044540796216,"FF","4-Seam Fastball",19.2,-15,-4.2,"-28",11,12.9,-8.2,4.7,"57",0.04,0.9388235294117647
"2021","Taillon, Jameson","592791","Yankees","NYY","R","93.9","1179","2372",14.641975308641975,0.49704890387858347,"FF","4-Seam Fastball",13.2,-14.3,1.1,"8",17.9,3.4,-6.9,-3.5,"-50",0.7552941176470588,0.13176470588235295
"2021","Hill, Rich","448179","Mets","NYM","L","88.1","1176","2496",15.407407407407407,0.47115384615384615,"FF","4-Seam Fastball",16.1,-18.1,2,"11",19.3,9.2,-6.8,2.4,"35",0.8941176470588236,0.7647058823529411
"2021","Gonzales, Marco","594835","Mariners","SEA","L","88.4","1168","2324",14.345679012345679,0.5025817555938038,"FF","4-Seam Fastball",17.5,-18.1,0.6,"3",17.5,10.7,-7,3.6,"52",0.6517647058823529,0.8588235294117647
"2021","Lyles, Jordan","543475","Rangers","TEX","R","93","1165","2964",18.296296296296298,0.39304993252361675,"FF","4-Seam Fastball",13.6,-14.7,1.1,"8",18.1,7,-6.7,0.3,"4",0.7552941176470588,0.5247058823529411
"2021","Paddack, Chris","663978","Padres","SD","R","94.8","1149","1869",11.537037037037036,0.6147672552166934,"FF","4-Seam Fastball",13.1,-13.4,0.3,"2",17.5,9.5,-6.4,3.1,"49",0.5788235294117647,0.8211764705882353
"2021","Bubic, Kris","663460","Royals","KC","L","90.9","1144","2202",13.592592592592593,0.51952770208901,"FF","4-Seam Fastball",17.7,-16.6,-1,"-6",15.4,6.2,-7,-0.8,"-12",0.3129411764705882,0.37176470588235294
"2021","Gallen, Zac","668678","D-backs","AZ","R","93.4","1130","2102",12.975308641975309,0.5375832540437678,"FF","4-Seam Fastball",14.1,-14.8,0.7,"5",17.4,3.4,-7.1,-3.7,"-52",0.6752941176470588,0.11764705882352941
"2021","Flexen, Chris","623167","Mariners","SEA","R","92.7","1123","2811",17.35185185185185,0.39950195659907506,"FF","4-Seam Fastball",13.5,-14,0.5,"4",18.4,2,-5.8,-3.8,"-65",0.6188235294117647,0.11058823529411765
"2021","Minor, Mike","501985","Royals","KC","L","90.9","1123","2621",16.179012345679013,0.4284624189240748,"FF","4-Seam Fastball",18.2,-16.5,-1.8,"-11",14.7,1.9,-7.2,-5.3,"-73",0.17176470588235293,0.04
"2021","Garcia, Luis","677651","Astros","HOU","R","93.3","1118","2502",15.444444444444445,0.44684252597921664,"FF","4-Seam Fastball",13,-15.1,2.1,"14",18.5,5,-7.1,-2,"-29",0.9011764705882352,0.2541176470588235
"2021","Means, John","607644","Orioles","BAL","L","92.8","1116","2328",14.37037037037037,0.4793814432989691,"FF","4-Seam Fastball",11.9,-14.5,2.6,"18",20.1,6.7,-6.3,0.4,"6",0.9694117647058823,0.5388235294117647
"2021","Nola, Aaron","605400","Phillies","PHI","R","92.9","1115","2971",18.339506172839506,0.3752945136317738,"FF","4-Seam Fastball",17.6,-16.6,-1,"-6",14.2,13.3,-8.2,5.1,"63",0.3129411764705882,0.9623529411764706
"2021","Irvin, Cole","608344","Athletics","ATH","L","90.8","1101","2682",16.555555555555557,0.4105145413870246,"FF","4-Seam Fastball",16.7,-16,-0.6,"-4",16.5,8.3,-6.5,1.8,"28",0.40705882352941175,0.6941176470588235
"2021","Skubal, Tarik","669373","Tigers","DET","L","94.3","1092","2547",15.722222222222221,0.4287396937573616,"FF","4-Seam Fastball",14.8,-14.1,-0.7,"-5",16.1,8.3,-6.7,1.6,"23",0.3835294117647059,0.6494117647058824
"2021","Morton, Charlie","450203","Braves","ATL","R","95.5","1088","2987",18.5527950310559,0.3642450619350519,"FF","4-Seam Fastball",17.6,-14.6,-2.9,"-20",12.5,13.1,-8.2,4.8,"59",0.09176470588235294,0.9435294117647058
"2021","Rodriguez, Eduardo","593958","Red Sox","BOS","L","92.5","1086","2721",16.796296296296298,0.39911797133406834,"FF","4-Seam Fastball",17.1,-15.7,-1.4,"-9",14.7,7.3,-7.5,-0.2,"-3",0.22588235294117648,0.4447058823529412
"2021","Kaprielian, James","621076","Athletics","ATH","R","93","1070","2024",12.493827160493828,0.5286561264822134,"FF","4-Seam Fastball",16.4,-15.3,-1,"-7",15.3,8.5,-7.2,1.2,"17",0.3129411764705882,0.6188235294117647
