"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Ray, Robbie",592662,"TOR","FF","4-Seam Fastball",0.9,17,"1861",59.2,"471","0.222","0.431","0.318",24,24.6,21.1,"0.239","0.46","0.327",43.2
"Gausman, Kevin",592332,"SF","FF","4-Seam Fastball",0.9,14,"1578",52.6,"419","0.255","0.416","0.334",19.5,19.3,19.6,"0.274","0.494","0.354",44.7
"Mahle, Tyler",641816,"CIN","FF","4-Seam Fastball",0.2,3,"1697",53.1,"389","0.237","0.435","0.338",27,34.7,21.6,"0.21","0.367","0.306",41
"Richards, Garrett",572070,"BOS","FF","4-Seam Fastball",-0.8,-10,"1236",53,"355","0.304","0.487","0.389",18,14.6,15.8,"0.305","0.516","0.393",52.5
"Cease, Dylan",656302,"CWS","FF","4-Seam Fastball",0.1,1,"1388",46.9,"353","0.263","0.448","0.365",23.2,19.5,18.2,"0.267","0.505","0.384",46.8
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",0.6,8,"1312",54.6,"352","0.295","0.394","0.327",14.1,10.8,12.3,"0.292","0.422","0.331",41.5
"Urías, Julio",628711,"LAD","FF","4-Seam Fastball",0,-1,"1347",48.3,"350","0.274","0.479","0.352",21.1,23.7,19.8,"0.248","0.466","0.332",38.3
"Wheeler, Zack",554430,"PHI","FF","4-Seam Fastball",1.4,19,"1359",42.4,"339","0.224","0.317","0.279",25.9,33,24,"0.214","0.318","0.273",32.3
"Happ, J.A.",457918,"STL","FF","4-Seam Fastball",-0.7,-10,"1443",54,"337","0.269","0.537","0.384",20.4,22.8,17.7,"0.253","0.527","0.372",46.8
"Buehler, Walker",621111,"LAD","FF","4-Seam Fastball",1.1,15,"1408",44.7,"337","0.201","0.365","0.294",20.8,23.7,19.3,"0.233","0.426","0.329",45.6
